label,point_count,center,number_candidates
458,4950,[2108 4341],"[(2083, 2131, 4308, 4375)]"
461,11914,[2241 1440],"[(2145, 2199, 1416, 1483)]"
465,14427,[2199 5014],"[(2160, 2215, 4987, 5050)]"
466,24074,[2257 1138],"[(2078, 2132, 1046, 1120)]"
467,4089,[2122 3847],"[(2096, 2148, 3794, 3866)]"
469,5936,[2127 3182],"[(2101, 2149, 3151, 3220)]"
471,2263,[2112 4758],"[(2088, 2139, 4727, 4795)]"
472,12243,[2206 5467],"[(2141, 2196, 5432, 5507)]"
474,4258,[2114 6026],"[(2087, 2141, 5997, 6060)]"
476,1350,[2125 3626],"[(2096, 2143, 3611, 3649)]"
477,9390,[2275 5241],"[(2201, 2253, 5219, 5290)]"
478,7710,[2224 3441],"[(2235, 2280, 3352, 3414)]"
483,11789,[2215 2500],"[(2193, 2247, 2471, 2547)]"
484,4176,[2141 4257],"[(2106, 2159, 4207, 4280)]"
488,11996,[2342 5180],"[(2350, 2405, 5141, 5217)]"
489,53445,[2351 5534],"[(2306, 2361, 5505, 5579)]"
490,3174,[2182 3000],"[(2157, 2206, 2968, 3024)]"
491,7525,[2173 6186],"[(2136, 2190, 6174, 6249)]"
492,4101,[2210 3463],"[(2189, 2238, 3443, 3501)]"
494,9427,[2236 5338],"[(2238, 2292, 5310, 5373)]"
495,67460,[2547 1942],"[(2419, 2474, 1864, 1941)]"
496,2995,[2174 4073],"[(2145, 2200, 4043, 4106)]"
497,2733,[2170 3334],"[(2135, 2187, 3304, 3377)]"
498,3903,[2170 3265],"[(2136, 2186, 3246, 3316)]"
499,33187,[2314 6236],"[(2309, 2364, 6175, 6238)]"
500,13615,[2258 4770],"[(2210, 2265, 4744, 4820)]"
501,11718,[2348 4728],"[(2396, 2444, 4685, 4752)]"
503,5840,[2245 5208],"[(2214, 2268, 5178, 5240)]"
505,2993,[2211 4288],[]
506,15804,[2344 2971],"[(2316, 2371, 2933, 3010)]"
507,2795,[2205 3440],"[(2173, 2228, 3410, 3476)]"
508,9060,[2243 3283],"[(2227, 2282, 3204, 3267)]"
510,790,[2237 4732],[]
511,1716,[2236 4317],"[(2226, 2271, 4287, 4347)]"
514,3726,[2210 3283],"[(2185, 2239, 3244, 3321)]"
516,12737,[2329 1758],"[(2295, 2350, 1713, 1787)]"
517,11741,[2344  754],"[(2300, 2354, 711, 774)]"
518,3195,[2230 4233],"[(2207, 2261, 4187, 4250)]"
520,2112,[2237 5745],"[(2212, 2266, 5719, 5771)]"
523,1930,[2260 3190],"[(2248, 2294, 3162, 3224)]"
525,14346,[2343 4281],"[(2338, 2390, 4225, 4296)]"
526,17394,[2296 3965],"[(2261, 2316, 3940, 4014)]"
528,3203,[2354 5214],"[(2306, 2348, 5194, 5241)]"
529,26095,[2403 4401],"[(2302, 2357, 4322, 4396)]"
531,36293,[2556 4505],"[(2612, 2667, 4461, 4537)]"
532,10306,[2328 3640],"[(2246, 2300, 3656, 3729)]"
533,2616,[2266 3309],"[(2240, 2292, 3278, 3340)]"
534,16642,[2396 5729],"[(2424, 2478, 5687, 5761)]"
536,6908,[2297 4248],"[(2272, 2327, 4205, 4279)]"
538,7487,[2308 2297],[]
539,4285,[2300 3074],"[(2276, 2324, 3042, 3110)]"
540,2847,[2289 3166],"[(2263, 2311, 3129, 3196)]"
541,5390,[2334 5688],"[(2298, 2352, 5653, 5717)]"
543,3056,[2294 3405],"[(2262, 2316, 3375, 3447)]"
545,11525,[2326 3296],"[(2309, 2364, 3242, 3316)]"
547,3945,[2327 5749],"[(2316, 2370, 5728, 5794)]"
548,16707,[2480 4389],"[(2413, 2468, 4361, 4438)]"
549,9387,[2398 6291],"[(2303, 2358, 6253, 6321)]"
550,17195,[2458 1262],"[(2458, 2512, 1217, 1291)]"
551,20737,[2447 4194],"[(2311, 2361, 4003, 4063)]"
552,13836,[2383 1038],"[(2314, 2369, 977, 1052)]"
554,1588,[2324 5304],"[(2300, 2350, 5282, 5325)]"
556,58573,[2561 3131],"[(2518, 2573, 3061, 3137)]"
557,20541,[2404 4031],"[(2371, 2425, 3956, 4030)]"
558,68792,[2701 4885],"[(2738, 2793, 4889, 4952)]"
559,2332,[2348 6020],"[(2321, 2376, 5991, 6043)]"
562,5872,[2385 3132],"[(2358, 2412, 3085, 3158)]"
564,1407,[2367 6310],"[(2347, 2391, 6293, 6324)]"
566,12805,[2391 6028],"[(2366, 2421, 5956, 6020)]"
567,11782,[2446 3382],"[(2424, 2479, 3301, 3377)]"
569,837,[2345 6111],"[(2324, 2367, 6091, 6130)]"
575,8114,[2526  773],"[(2505, 2560, 745, 819)]"
576,2424,[2361 4092],"[(2334, 2389, 4061, 4124)]"
579,37644,[2522 4044],"[(2501, 2556, 4124, 4199)]"
582,2581,[2373 4172],"[(2347, 2401, 4141, 4203)]"
584,2790,[2444 3546],"[(2456, 2502, 3517, 3577)]"
585,6682,[2467 4949],"[(2474, 2528, 4923, 4986)]"
587,32923,[2491 3265],"[(2499, 2553, 3247, 3321)]"
589,2314,[2395 5794],"[(2366, 2421, 5767, 5820)]"
591,36027,[2572 4683],"[(2556, 2611, 4625, 4701)]"
594,14528,[2517  625],"[(2471, 2526, 586, 649)]"
595,6854,[2416 4279],"[(2386, 2441, 4250, 4325)]"
596,16480,[2552 5218],"[(2517, 2572, 5193, 5256)]"
598,187639,[2818 6001],"[(2678, 2732, 6035, 6109)]"
601,9905,[2457 5326],"[(2414, 2468, 5286, 5349)]"
602,19445,[2563 2967],"[(2606, 2661, 2928, 3001)]"
606,10991,[2544 1843],"[(2576, 2630, 1855, 1930)]"
607,3266,[2485 5886],"[(2469, 2523, 5865, 5910)]"
608,12156,[2483 4062],"[(2446, 2501, 4045, 4108)]"
609,4409,[2461 4864],"[(2434, 2488, 4834, 4897)]"
611,7207,[2463 3193],"[(2435, 2490, 3155, 3230)]"
612,26613,[2612 3540],"[(2665, 2719, 3451, 3526)]"
613,5556,[2477 4767],"[(2425, 2479, 4719, 4796)]"
614,11490,[2528 1383],"[(2511, 2565, 1343, 1418)]"
615,7059,[2499 1849],"[(2456, 2510, 1799, 1876)]"
616,23473,[2862 5407],"[(2573, 2628, 5384, 5447)]"
620,4224,[2512 5404],"[(2485, 2540, 5374, 5435)]"
622,5067,[2543 6047],"[(2538, 2588, 6000, 6070)]"
625,15112,[2674 1904],"[(2659, 2714, 1866, 1941)]"
626,43777,[2656 5286],"[(2642, 2697, 5256, 5319)]"
627,5207,[2551 4387],"[(2526, 2581, 4354, 4419)]"
628,9291,[2684 2936],[]
629,40450,[2683 2189],"[(2599, 2654, 2208, 2284)]"
630,2013,[2551 5147],"[(2538, 2588, 5127, 5170)]"
632,6708,[2600 2358],"[(2621, 2670, 2299, 2370)]"
633,47032,[2825 2490],"[(2825, 2879, 2419, 2496)]"
634,3023,[2532 4222],"[(2505, 2560, 4189, 4261)]"
636,12637,[2629 1773],"[(2602, 2656, 1750, 1813)]"
637,5891,[2555 3641],"[(2532, 2587, 3604, 3680)]"
639,18101,[2634 3250],"[(2576, 2631, 3191, 3268)]"
640,3311,[2570 2986],"[(2546, 2600, 2943, 3019)]"
645,42326,[2766 4097],"[(2597, 2651, 4073, 4147)]"
648,7565,[2647 3335],"[(2640, 2688, 3333, 3402)]"
650,4619,[2609 3715],"[(2574, 2622, 3704, 3773)]"
651,24150,[2789 6248],"[(2807, 2862, 6235, 6309)]"
652,6863,[2623 1112],"[(2591, 2645, 1069, 1143)]"
653,444145,[3373 2904],"[(3035, 3090, 2883, 2959), (3454, 3508, 2780, 2856)]"
654,2596,[2616 3813],"[(2596, 2649, 3771, 3842)]"
655,2153,[2611 3877],"[(2588, 2636, 3844, 3911)]"
656,5156,[2611 4239],"[(2578, 2633, 4187, 4261)]"
658,36019,[2806 4662],"[(2782, 2837, 4620, 4697)]"
659,41907,[3004 4493],"[(2924, 2979, 4450, 4527)]"
